当前时间:12:30:00    当前价格:7.080000 波动价格:0.0 初始波动:-0.72,比率0.0923%
当前时间:10:10:54    当前价格:7.689000 波动价格:-0.111 初始波动:0.609,比率0.086%
当前时间:10:10:56    当前价格:7.800000 波动价格:0.111 初始波动:0.72,比率0.1017%
当前时间:10:10:57    当前价格:7.700000 波动价格:-0.1 初始波动:0.62,比率0.0876%
当前时间:10:10:58    当前价格:7.800000 波动价格:0.1 初始波动:0.72,比率0.1017%
当前时间:10:10:59    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:11:00    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:11:01    当前价格:7.698000 波动价格:-0.102 初始波动:0.618,比率0.0873%
当前时间:10:11:02    当前价格:7.800000 波动价格:0.102 初始波动:0.72,比率0.1017%
当前时间:10:11:03    当前价格:7.710000 波动价格:-0.09 初始波动:0.63,比率0.089%
当前时间:10:11:04    当前价格:7.800000 波动价格:0.09 初始波动:0.72,比率0.1017%
当前时间:10:11:05    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:11:06    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:11:07    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:11:08    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:11:09    当前价格:7.804000 波动价格:0.004 初始波动:0.724,比率0.1023%
当前时间:10:11:10    当前价格:7.800000 波动价格:-0.004 初始波动:0.72,比率0.1017%
当前时间:10:11:11    当前价格:7.804000 波动价格:0.004 初始波动:0.724,比率0.1023%
当前时间:10:11:12    当前价格:7.800000 波动价格:-0.004 初始波动:0.72,比率0.1017%
当前时间:10:11:13    当前价格:7.803000 波动价格:0.003 初始波动:0.723,比率0.1021%
当前时间:10:11:14    当前价格:7.804000 波动价格:0.001 初始波动:0.724,比率0.1023%
当前时间:10:11:15    当前价格:7.802000 波动价格:-0.002 初始波动:0.722,比率0.102%
当前时间:10:11:16    当前价格:7.800000 波动价格:-0.002 初始波动:0.72,比率0.1017%
当前时间:10:11:17    当前价格:7.790000 波动价格:-0.01 初始波动:0.71,比率0.1003%
当前时间:10:11:18    当前价格:7.790000 波动价格:0.0 初始波动:0.71,比率0.1003%
当前时间:10:11:19    当前价格:7.790000 波动价格:0.0 初始波动:0.71,比率0.1003%
当前时间:10:11:20    当前价格:7.800000 波动价格:0.01 初始波动:0.72,比率0.1017%
当前时间:10:11:21    当前价格:7.790000 波动价格:-0.01 初始波动:0.71,比率0.1003%
当前时间:10:11:23    当前价格:7.790000 波动价格:0.0 初始波动:0.71,比率0.1003%
当前时间:10:11:26    当前价格:7.800000 波动价格:0.01 初始波动:0.72,比率0.1017%
当前时间:10:11:29    当前价格:7.720000 波动价格:-0.08 初始波动:0.64,比率0.0904%
当前时间:10:11:30    当前价格:7.780000 波动价格:0.06 初始波动:0.7,比率0.0989%
当前时间:10:11:33    当前价格:7.800000 波动价格:0.02 初始波动:0.72,比率0.1017%
当前时间:10:11:34    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:11:38    当前价格:7.790000 波动价格:-0.01 初始波动:0.71,比率0.1003%
当前时间:10:11:41    当前价格:7.791000 波动价格:0.001 初始波动:0.711,比率0.1004%
当前时间:10:11:47    当前价格:7.799000 波动价格:0.008 初始波动:0.719,比率0.1016%
当前时间:10:11:48    当前价格:7.790000 波动价格:-0.009 初始波动:0.71,比率0.1003%
当前时间:10:11:52    当前价格:7.799100 波动价格:0.0091 初始波动:0.7191,比率0.1016%
当前时间:10:11:59    当前价格:7.799000 波动价格:-0.0001 初始波动:0.719,比率0.1016%
当前时间:10:12:00    当前价格:7.799000 波动价格:0.0 初始波动:0.719,比率0.1016%
当前时间:10:12:01    当前价格:7.799900 波动价格:0.0009 初始波动:0.7199,比率0.1017%
当前时间:10:12:05    当前价格:7.799900 波动价格:0.0 初始波动:0.7199,比率0.1017%
当前时间:10:12:06    当前价格:7.800000 波动价格:0.0001 初始波动:0.72,比率0.1017%
当前时间:10:12:11    当前价格:7.791000 波动价格:-0.009 初始波动:0.711,比率0.1004%
当前时间:10:12:12    当前价格:7.800000 波动价格:0.009 初始波动:0.72,比率0.1017%
当前时间:10:12:15    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:12:16    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:12:17    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:12:18    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:12:19    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:12:20    当前价格:7.799900 波动价格:-0.0001 初始波动:0.7199,比率0.1017%
当前时间:10:12:23    当前价格:7.799000 波动价格:-0.0009 初始波动:0.719,比率0.1016%
当前时间:10:12:24    当前价格:7.800000 波动价格:0.001 初始波动:0.72,比率0.1017%
当前时间:10:12:25    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:12:26    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:12:27    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:12:30    当前价格:7.800000 波动价格:0.0 初始波动:0.72,比率0.1017%
当前时间:10:12:31    当前价格:7.799100 波动价格:-0.0009 初始波动:0.7191,比率0.1016%
当前时间:10:12:33    当前价格:7.799000 波动价格:-0.0001 初始波动:0.719,比率0.1016%
当前时间:10:12:34    当前价格:7.800000 波动价格:0.001 初始波动:0.72,比率0.1017%
当前时间:10:12:35    当前价格:7.760000 波动价格:-0.04 初始波动:0.68,比率0.096%
当前时间:10:12:38    当前价格:7.800000 波动价格:0.04 初始波动:0.72,比率0.1017%
当前时间:10:12:40    当前价格:7.760000 波动价格:-0.04 初始波动:0.68,比率0.096%
当前时间:10:12:41    当前价格:7.800000 波动价格:0.04 初始波动:0.72,比率0.1017%
当前时间:10:12:44    当前价格:7.799300 波动价格:-0.0007 初始波动:0.7193,比率0.1016%
当前时间:10:12:45    当前价格:7.799300 波动价格:0.0 初始波动:0.7193,比率0.1016%
当前时间:10:12:48    当前价格:7.790000 波动价格:-0.0093 初始波动:0.71,比率0.1003%
当前时间:10:12:53    当前价格:7.730000 波动价格:-0.06 初始波动:0.65,比率0.0918%
当前时间:10:12:54    当前价格:7.770000 波动价格:0.04 初始波动:0.69,比率0.0975%
当前时间:10:12:55    当前价格:7.730000 波动价格:-0.04 初始波动:0.65,比率0.0918%
当前时间:10:12:57    当前价格:7.730000 波动价格:0.0 初始波动:0.65,比率0.0918%
当前时间:10:12:58    当前价格:7.700000 波动价格:-0.03 初始波动:0.62,比率0.0876%
当前时间:10:13:00    当前价格:7.730000 波动价格:0.03 初始波动:0.65,比率0.0918%
当前时间:10:13:03    当前价格:7.688000 波动价格:-0.042 初始波动:0.608,比率0.0859%
当前时间:10:13:07    当前价格:7.685000 波动价格:-0.003 初始波动:0.605,比率0.0855%
当前时间:10:13:09    当前价格:7.750000 波动价格:0.065 初始波动:0.67,比率0.0946%
当前时间:10:13:12    当前价格:7.700001 波动价格:-0.049999 初始波动:0.620001,比率0.0876%
当前时间:10:13:16    当前价格:7.781000 波动价格:0.080999 初始波动:0.701,比率0.099%
当前时间:10:13:17    当前价格:7.784000 波动价格:0.003 初始波动:0.704,比率0.0994%
当前时间:10:13:20    当前价格:7.784000 波动价格:0.0 初始波动:0.704,比率0.0994%
当前时间:10:13:21    当前价格:7.700000 波动价格:-0.084 初始波动:0.62,比率0.0876%
当前时间:10:13:24    当前价格:7.701001 波动价格:0.001001 初始波动:0.621001,比率0.0877%
当前时间:10:13:25    当前价格:7.698100 波动价格:-0.002901 初始波动:0.6181,比率0.0873%
当前时间:10:13:29    当前价格:7.777000 波动价格:0.0789 初始波动:0.077,比率0.01%
当前时间:10:13:30    当前价格:7.710000 波动价格:-0.067 初始波动:0.01,比率0.0013%
当前时间:10:13:32    当前价格:7.770000 波动价格:0.06 初始波动:0.07,比率0.0091%
当前时间:10:13:34    当前价格:7.770000 波动价格:0.0 初始波动:0.07,比率0.0091%
当前时间:10:13:36    当前价格:7.777000 波动价格:0.007 初始波动:0.077,比率0.01%
当前时间:10:13:38    当前价格:7.770000 波动价格:-0.007 初始波动:0.07,比率0.0091%
当前时间:10:13:39    当前价格:7.770000 波动价格:0.0 初始波动:0.07,比率0.0091%
当前时间:10:13:40    当前价格:7.711000 波动价格:-0.059 初始波动:0.011,比率0.0014%
当前时间:10:13:44    当前价格:7.760000 波动价格:0.049 初始波动:0.06,比率0.0078%
当前时间:10:13:45    当前价格:7.770000 波动价格:0.01 初始波动:0.07,比率0.0091%
当前时间:10:13:46    当前价格:7.761000 波动价格:-0.009 初始波动:0.061,比率0.0079%
当前时间:10:13:49    当前价格:7.766600 波动价格:0.0056 初始波动:0.0666,比率0.0086%
当前时间:10:13:50    当前价格:7.760000 波动价格:-0.0066 初始波动:0.06,比率0.0078%
当前时间:10:13:51    当前价格:7.760000 波动价格:0.0 初始波动:0.06,比率0.0078%
当前时间:10:13:53    当前价格:7.711000 波动价格:-0.049 初始波动:0.011,比率0.0014%
当前时间:10:13:58    当前价格:7.750000 波动价格:0.039 初始波动:0.05,比率0.0065%
当前时间:10:14:01    当前价格:7.749000 波动价格:-0.001 初始波动:0.049,比率0.0064%
当前时间:10:14:02    当前价格:7.711200 波动价格:-0.0378 初始波动:0.0112,比率0.0015%
当前时间:10:14:04    当前价格:7.711200 波动价格:0.0 初始波动:0.0112,比率0.0015%
当前时间:10:14:06    当前价格:7.711000 波动价格:-0.0002 初始波动:0.011,比率0.0014%
当前时间:10:14:10    当前价格:7.711000 波动价格:0.0 初始波动:0.011,比率0.0014%
当前时间:10:14:11    当前价格:7.711000 波动价格:0.0 初始波动:0.011,比率0.0014%
当前时间:10:14:14    当前价格:7.750000 波动价格:0.039 初始波动:0.05,比率0.0065%
当前时间:10:14:18    当前价格:7.740000 波动价格:-0.01 初始波动:0.04,比率0.0052%
当前时间:10:14:19    当前价格:7.711000 波动价格:-0.029 初始波动:0.011,比率0.0014%
当前时间:10:14:20    当前价格:7.749000 波动价格:0.038 初始波动:0.049,比率0.0064%
当前时间:10:14:21    当前价格:7.740000 波动价格:-0.009 初始波动:0.04,比率0.0052%
当前时间:10:14:22    当前价格:7.745000 波动价格:0.005 初始波动:0.045,比率0.0058%
当前时间:10:14:23    当前价格:7.699000 波动价格:-0.046 初始波动:-0.001,比率0.0001%
当前时间:10:14:27    当前价格:7.698100 波动价格:-0.0009 初始波动:-0.0019,比率0.0002%
当前时间:10:14:28    当前价格:7.711000 波动价格:0.0129 初始波动:0.011,比率0.0014%
当前时间:10:14:30    当前价格:7.687200 波动价格:-0.0238 初始波动:-0.0128,比率0.0017%
当前时间:10:14:32    当前价格:7.711200 波动价格:0.024 初始波动:0.0112,比率0.0015%
当前时间:10:14:33    当前价格:7.682000 波动价格:-0.0292 初始波动:-0.018,比率0.0023%
当前时间:10:14:34    当前价格:7.684000 波动价格:0.002 初始波动:-0.016,比率0.0021%
当前时间:10:14:35    当前价格:7.682000 波动价格:-0.002 初始波动:-0.018,比率0.0023%
当前时间:10:14:40    当前价格:7.650000 波动价格:-0.032 初始波动:-0.05,比率0.0065%
当前时间:10:14:41    当前价格:7.680000 波动价格:0.03 初始波动:-0.02,比率0.0026%
当前时间:10:14:42    当前价格:7.600000 波动价格:-0.08 初始波动:-0.1,比率0.013%
当前时间:10:14:43    当前价格:7.684000 波动价格:0.084 初始波动:-0.016,比率0.0021%
当前时间:10:14:45    当前价格:7.600000 波动价格:-0.084 初始波动:-0.1,比率0.013%
当前时间:10:14:47    当前价格:7.650000 波动价格:0.05 初始波动:-0.05,比率0.0065%
当前时间:10:14:48    当前价格:7.670000 波动价格:0.02 初始波动:-0.03,比率0.0039%
当前时间:10:14:50    当前价格:7.600000 波动价格:-0.07 初始波动:-0.1,比率0.013%
当前时间:10:14:52    当前价格:7.680000 波动价格:0.08 初始波动:-0.02,比率0.0026%
当前时间:10:14:53    当前价格:7.600000 波动价格:-0.08 初始波动:-0.1,比率0.013%
当前时间:10:14:55    当前价格:7.600000 波动价格:0.0 初始波动:-0.1,比率0.013%
当前时间:10:14:56    当前价格:7.500000 波动价格:-0.1 初始波动:-0.2,比率0.026%
当前时间:10:14:57    当前价格:7.600000 波动价格:0.1 初始波动:-0.1,比率0.013%
当前时间:10:15:02    当前价格:7.510000 波动价格:-0.09 初始波动:-0.19,比率0.0247%
当前时间:10:15:13    当前价格:7.599990 波动价格:0.08999 初始波动:-0.10001,比率0.013%
当前时间:10:15:14    当前价格:7.599990 波动价格:0.0 初始波动:-0.10001,比率0.013%
当前时间:10:15:15    当前价格:7.591000 波动价格:-0.00899 初始波动:-0.109,比率0.0142%
当前时间:10:15:17    当前价格:7.599999 波动价格:0.008999 初始波动:-0.100001,比率0.013%
当前时间:10:15:18    当前价格:7.600000 波动价格:1e-06 初始波动:-0.1,比率0.013%
当前时间:10:15:19    当前价格:7.599999 波动价格:-1e-06 初始波动:-0.100001,比率0.013%
当前时间:10:15:20    当前价格:7.599999 波动价格:0.0 初始波动:-0.100001,比率0.013%
当前时间:10:15:22    当前价格:7.550000 波动价格:-0.049999 初始波动:-0.15,比率0.0195%
当前时间:10:15:24    当前价格:7.599000 波动价格:0.049 初始波动:-0.101,比率0.0131%
当前时间:10:15:26    当前价格:7.590000 波动价格:-0.009 初始波动:-0.11,比率0.0143%
当前时间:10:15:27    当前价格:7.600000 波动价格:0.01 初始波动:-0.1,比率0.013%
当前时间:10:15:30    当前价格:7.510000 波动价格:-0.09 初始波动:-0.19,比率0.0247%
当前时间:10:15:34    当前价格:7.510000 波动价格:0.0 初始波动:-0.19,比率0.0247%
当前时间:10:15:40    当前价格:7.570000 波动价格:0.06 初始波动:-0.13,比率0.0169%
当前时间:10:15:44    当前价格:7.520000 波动价格:-0.05 初始波动:-0.18,比率0.0234%
当前时间:10:15:50    当前价格:7.520001 波动价格:1e-06 初始波动:-0.179999,比率0.0234%
当前时间:10:15:53    当前价格:7.589999 波动价格:0.069998 初始波动:-0.110001,比率0.0143%
当前时间:10:15:55    当前价格:7.589990 波动价格:-9e-06 初始波动:-0.11001,比率0.0143%
当前时间:10:15:57    当前价格:7.520000 波动价格:-0.06999 初始波动:-0.18,比率0.0234%
当前时间:10:15:58    当前价格:7.520000 波动价格:0.0 初始波动:-0.18,比率0.0234%
当前时间:10:16:02    当前价格:7.520000 波动价格:0.0 初始波动:-0.18,比率0.0234%
当前时间:10:16:06    当前价格:7.550000 波动价格:0.03 初始波动:-0.15,比率0.0195%
当前时间:10:16:07    当前价格:7.589990 波动价格:0.03999 初始波动:-0.11001,比率0.0143%
当前时间:10:16:11    当前价格:7.589990 波动价格:0.0 初始波动:-0.11001,比率0.0143%
当前时间:10:16:13    当前价格:7.590000 波动价格:1e-05 初始波动:-0.11,比率0.0143%
当前时间:10:16:14    当前价格:7.520000 波动价格:-0.07 初始波动:-0.18,比率0.0234%
当前时间:10:16:16    当前价格:7.520000 波动价格:0.0 初始波动:-0.18,比率0.0234%
当前时间:10:16:17    当前价格:7.520000 波动价格:0.0 初始波动:-0.18,比率0.0234%
当前时间:10:16:18    当前价格:7.589990 波动价格:0.06999 初始波动:-0.11001,比率0.0143%
当前时间:10:16:21    当前价格:7.550000 波动价格:-0.03999 初始波动:-0.15,比率0.0195%
当前时间:10:16:24    当前价格:7.579990 波动价格:0.02999 初始波动:-0.12001,比率0.0156%
当前时间:10:16:32    当前价格:7.580000 波动价格:1e-05 初始波动:-0.12,比率0.0156%
当前时间:10:16:36    当前价格:7.589990 波动价格:0.00999 初始波动:-0.11001,比率0.0143%
当前时间:10:16:38    当前价格:7.579999 波动价格:-0.009991 初始波动:-0.120001,比率0.0156%
当前时间:10:16:39    当前价格:7.579999 波动价格:0.0 初始波动:-0.120001,比率0.0156%
当前时间:10:16:40    当前价格:7.550000 波动价格:-0.029999 初始波动:-0.15,比率0.0195%
当前时间:10:16:43    当前价格:7.579999 波动价格:0.029999 初始波动:-0.120001,比率0.0156%
当前时间:10:16:44    当前价格:7.579999 波动价格:0.0 初始波动:-0.120001,比率0.0156%
当前时间:10:16:46    当前价格:7.580000 波动价格:1e-06 初始波动:-0.12,比率0.0156%
当前时间:10:16:47    当前价格:7.520000 波动价格:-0.06 初始波动:-0.18,比率0.0234%
当前时间:10:16:50    当前价格:7.530000 波动价格:0.01 初始波动:-0.17,比率0.0221%
当前时间:10:16:51    当前价格:7.578000 波动价格:0.048 初始波动:-0.122,比率0.0158%
当前时间:10:16:53    当前价格:7.520000 波动价格:-0.058 初始波动:-0.18,比率0.0234%
当前时间:10:16:54    当前价格:7.520000 波动价格:0.0 初始波动:-0.18,比率0.0234%
当前时间:10:16:55    当前价格:7.520000 波动价格:0.0 初始波动:-0.18,比率0.0234%
当前时间:10:16:58    当前价格:7.520000 波动价格:0.0 初始波动:-0.18,比率0.0234%
当前时间:10:17:00    当前价格:7.578000 波动价格:0.058 初始波动:-0.122,比率0.0158%
当前时间:10:17:03    当前价格:7.560000 波动价格:-0.018 初始波动:-0.14,比率0.0182%
当前时间:10:17:04    当前价格:7.501000 波动价格:-0.059 初始波动:-0.199,比率0.0258%
当前时间:10:17:07    当前价格:7.520000 波动价格:0.019 初始波动:-0.18,比率0.0234%
当前时间:10:17:08    当前价格:7.520000 波动价格:0.0 初始波动:-0.18,比率0.0234%
当前时间:10:17:09    当前价格:7.520000 波动价格:0.0 初始波动:-0.18,比率0.0234%
当前时间:10:17:10    当前价格:7.500000 波动价格:-0.02 初始波动:-0.2,比率0.026%
当前时间:10:17:11    当前价格:7.500000 波动价格:0.0 初始波动:-0.2,比率0.026%
当前时间:10:17:12    当前价格:7.500000 波动价格:0.0 初始波动:-0.2,比率0.026%
当前时间:10:17:14    当前价格:7.500000 波动价格:0.0 初始波动:-0.2,比率0.026%
当前时间:10:17:15    当前价格:7.320000 波动价格:-0.18 初始波动:-0.38,比率0.0494%
当前时间:10:17:16    当前价格:7.500000 波动价格:0.18 初始波动:-0.2,比率0.026%
当前时间:10:17:18    当前价格:7.230000 波动价格:-0.27 初始波动:-0.47,比率0.061%
当前时间:10:17:21    当前价格:7.250000 波动价格:0.02 初始波动:-0.45,比率0.0584%
当前时间:10:17:22    当前价格:7.200000 波动价格:-0.05 初始波动:-0.5,比率0.0649%
当前时间:10:17:23    当前价格:7.320000 波动价格:0.12 初始波动:-0.38,比率0.0494%
当前时间:10:17:26    当前价格:7.260000 波动价格:-0.06 初始波动:-0.44,比率0.0571%
当前时间:10:17:30    当前价格:7.300000 波动价格:0.04 初始波动:-0.4,比率0.0519%
当前时间:10:17:31    当前价格:7.290000 波动价格:-0.01 初始波动:-0.41,比率0.0532%
当前时间:10:17:33    当前价格:7.320000 波动价格:0.03 初始波动:-0.38,比率0.0494%
当前时间:10:17:35    当前价格:7.300000 波动价格:-0.02 初始波动:-0.4,比率0.0519%
当前时间:10:17:36    当前价格:7.320000 波动价格:0.02 初始波动:-0.38,比率0.0494%
当前时间:10:17:38    当前价格:7.300000 波动价格:-0.02 初始波动:-0.4,比率0.0519%
当前时间:10:17:39    当前价格:7.310000 波动价格:0.01 初始波动:-0.39,比率0.0506%
当前时间:10:17:40    当前价格:7.250000 波动价格:-0.06 初始波动:-0.45,比率0.0584%
当前时间:10:17:41    当前价格:7.270000 波动价格:0.02 初始波动:-0.43,比率0.0558%
当前时间:10:17:43    当前价格:7.370000 波动价格:0.1 初始波动:-0.33,比率0.0429%
当前时间:10:17:46    当前价格:7.350000 波动价格:-0.02 初始波动:-0.35,比率0.0455%
当前时间:10:17:48    当前价格:7.260000 波动价格:-0.09 初始波动:-0.44,比率0.0571%
当前时间:10:17:49    当前价格:7.260000 波动价格:0.0 初始波动:-0.44,比率0.0571%
当前时间:10:17:50    当前价格:7.380000 波动价格:0.12 初始波动:-0.32,比率0.0416%
当前时间:10:17:53    当前价格:7.351000 波动价格:-0.029 初始波动:-0.349,比率0.0453%
当前时间:10:17:56    当前价格:7.300000 波动价格:-0.051 初始波动:-0.4,比率0.0519%
当前时间:10:17:57    当前价格:7.260000 波动价格:-0.04 初始波动:-0.44,比率0.0571%
当前时间:10:17:58    当前价格:7.300000 波动价格:0.04 初始波动:-0.4,比率0.0519%
当前时间:10:18:01    当前价格:7.270000 波动价格:-0.03 初始波动:-0.43,比率0.0558%
当前时间:10:18:06    当前价格:7.270000 波动价格:0.0 初始波动:-0.43,比率0.0558%
当前时间:10:18:07    当前价格:7.250000 波动价格:-0.02 初始波动:-0.45,比率0.0584%
当前时间:10:18:09    当前价格:7.250000 波动价格:0.0 初始波动:-0.45,比率0.0584%
当前时间:10:18:14    当前价格:7.299000 波动价格:0.049 初始波动:-0.401,比率0.0521%
当前时间:10:18:15    当前价格:7.250000 波动价格:-0.049 初始波动:-0.45,比率0.0584%
当前时间:10:18:18    当前价格:7.250000 波动价格:0.0 初始波动:-0.45,比率0.0584%
当前时间:10:18:19    当前价格:7.260000 波动价格:0.01 初始波动:-0.44,比率0.0571%
当前时间:10:18:20    当前价格:7.260000 波动价格:0.0 初始波动:-0.44,比率0.0571%
当前时间:10:18:22    当前价格:7.240000 波动价格:-0.02 初始波动:-0.46,比率0.0597%
当前时间:10:18:25    当前价格:7.240000 波动价格:0.0 初始波动:-0.46,比率0.0597%
当前时间:10:18:26    当前价格:7.299990 波动价格:0.05999 初始波动:-0.40001,比率0.0519%
当前时间:10:18:28    当前价格:7.210100 波动价格:-0.08989 初始波动:-0.4899,比率0.0636%
当前时间:10:18:29    当前价格:7.271000 波动价格:0.0609 初始波动:-0.429,比率0.0557%
当前时间:10:18:30    当前价格:7.200000 波动价格:-0.071 初始波动:-0.5,比率0.0649%
当前时间:10:18:32    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:18:36    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:18:40    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:18:41    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:18:42    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:18:45    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:18:46    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:18:47    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:18:48    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:18:53    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:18:55    当前价格:7.160000 波动价格:-0.04 初始波动:-0.54,比率0.0701%
当前时间:10:18:58    当前价格:7.160000 波动价格:0.0 初始波动:-0.54,比率0.0701%
当前时间:10:18:59    当前价格:7.130000 波动价格:-0.03 初始波动:-0.57,比率0.074%
当前时间:10:19:00    当前价格:7.160000 波动价格:0.03 初始波动:-0.54,比率0.0701%
当前时间:10:19:03    当前价格:7.160000 波动价格:0.0 初始波动:-0.54,比率0.0701%
当前时间:10:19:05    当前价格:7.160000 波动价格:0.0 初始波动:-0.54,比率0.0701%
当前时间:10:19:09    当前价格:7.159999 波动价格:-1e-06 初始波动:-0.540001,比率0.0701%
当前时间:10:19:11    当前价格:7.160000 波动价格:1e-06 初始波动:-0.54,比率0.0701%
当前时间:10:19:14    当前价格:7.160000 波动价格:0.0 初始波动:-0.54,比率0.0701%
当前时间:10:19:20    当前价格:7.160999 波动价格:0.000999 初始波动:-0.539001,比率0.07%
当前时间:10:19:25    当前价格:7.199999 波动价格:0.039 初始波动:-0.500001,比率0.0649%
当前时间:10:19:27    当前价格:7.200000 波动价格:1e-06 初始波动:-0.5,比率0.0649%
当前时间:10:19:28    当前价格:7.199999 波动价格:-1e-06 初始波动:-0.500001,比率0.0649%
当前时间:10:19:33    当前价格:7.199999 波动价格:0.0 初始波动:-0.500001,比率0.0649%
当前时间:10:19:34    当前价格:7.200000 波动价格:1e-06 初始波动:-0.5,比率0.0649%
当前时间:10:19:35    当前价格:7.199999 波动价格:-1e-06 初始波动:-0.500001,比率0.0649%
当前时间:10:19:38    当前价格:7.199999 波动价格:0.0 初始波动:-0.500001,比率0.0649%
当前时间:10:19:39    当前价格:7.199999 波动价格:0.0 初始波动:-0.500001,比率0.0649%
当前时间:10:19:40    当前价格:7.199999 波动价格:0.0 初始波动:-0.500001,比率0.0649%
当前时间:10:19:43    当前价格:7.199999 波动价格:0.0 初始波动:-0.500001,比率0.0649%
当前时间:10:19:47    当前价格:7.180000 波动价格:-0.019999 初始波动:-0.52,比率0.0675%
当前时间:10:19:48    当前价格:7.199999 波动价格:0.019999 初始波动:-0.500001,比率0.0649%
当前时间:10:19:52    当前价格:7.200000 波动价格:1e-06 初始波动:-0.5,比率0.0649%
当前时间:10:19:53    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:19:54    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:19:55    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:19:56    当前价格:7.200000 波动价格:0.0 初始波动:-0.5,比率0.0649%
当前时间:10:20:04    当前价格:7.230000 波动价格:0.03 初始波动:-0.47,比率0.061%
当前时间:10:20:05    当前价格:7.230000 波动价格:0.0 初始波动:-0.47,比率0.061%
当前时间:10:20:07    当前价格:7.230000 波动价格:0.0 初始波动:-0.47,比率0.061%
当前时间:10:20:09    当前价格:7.260000 波动价格:0.03 初始波动:-0.44,比率0.0571%
当前时间:10:20:18    当前价格:7.260000 波动价格:0.0 初始波动:-0.44,比率0.0571%
当前时间:10:20:19    当前价格:7.300000 波动价格:0.04 初始波动:-0.4,比率0.0519%
当前时间:10:20:20    当前价格:7.300000 波动价格:0.0 初始波动:-0.4,比率0.0519%
当前时间:10:20:24    当前价格:7.350000 波动价格:0.05 初始波动:-0.35,比率0.0455%
当前时间:10:20:27    当前价格:7.400000 波动价格:0.05 初始波动:-0.3,比率0.039%
当前时间:10:20:31    当前价格:7.400000 波动价格:0.0 初始波动:-0.3,比率0.039%
当前时间:10:20:33    当前价格:7.340000 波动价格:-0.06 初始波动:-0.36,比率0.0468%
当前时间:10:20:37    当前价格:7.398800 波动价格:0.0588 初始波动:-0.3012,比率0.0391%
当前时间:10:20:38    当前价格:7.398800 波动价格:0.0 初始波动:-0.3012,比率0.0391%
当前时间:10:20:39    当前价格:7.398800 波动价格:0.0 初始波动:-0.3012,比率0.0391%
当前时间:10:20:40    当前价格:7.398800 波动价格:0.0 初始波动:-0.3012,比率0.0391%
当前时间:10:20:41    当前价格:7.400000 波动价格:0.0012 初始波动:-0.3,比率0.039%
当前时间:10:20:42    当前价格:7.499990 波动价格:0.09999 初始波动:-0.20001,比率0.026%
当前时间:10:20:43    当前价格:7.380000 波动价格:-0.11999 初始波动:-0.32,比率0.0416%
当前时间:10:20:46    当前价格:7.499990 波动价格:0.11999 初始波动:-0.20001,比率0.026%
当前时间:10:20:47    当前价格:7.402100 波动价格:-0.09789 初始波动:-0.2979,比率0.0387%
当前时间:10:20:48    当前价格:7.490000 波动价格:0.0879 初始波动:-0.21,比率0.0273%
当前时间:10:20:50    当前价格:7.410000 波动价格:-0.08 初始波动:-0.29,比率0.0377%
当前时间:10:20:51    当前价格:7.410000 波动价格:0.0 初始波动:-0.29,比率0.0377%
